scenario,energy_capacity_MWh,power_capacity_MW,total_cost_CNY,thermal_cost_CNY,storage_cost_CNY,curtailment_cost_CNY,load_shedding_cost_CNY,renewable_utilization_pct,curtailment_rate_pct,num_steps,time_step_hours,thermal_generation_MWh,curtailment_MWh,load_shedding_MWh,storage_discharge_MWh,initial_inventory_supply_MWh,simulation_hours,storage_capex_CNY,capital_recovery_factor,year_fraction,storage_annualized_investment_CNY_per_year,storage_annual_fixed_om_CNY_per_year,storage_investment_allocated_CNY,storage_fixed_om_CNY,storage_variable_om_CNY,storage_om_cost_CNY,operating_cost_excluding_investment_CNY,initial_inventory_thermal_value_CNY,solver_status,storage_utilization_pct,storage_charge_MWh,operating_objective_CNY,max_constraint_residual
E030_P10,30,10,502168.035452,409797.189751,9272.24182315,83098.6038781,0,80.904247583,19.095752417,24,1,1170.84911357,415.493019391,0,66.61,0,24,27000000,0.0963422876092,0.0027397260274,2601241.76545,540000,7126.68976836,1479.45205479,666.1,2145.55205479,495041.345684,0,Optimal,79.1666666667,73.8060941828,493561.893629,3.68771679859e-12
E030_P15,30,15,500337.954442,408482.925208,9959.66081332,81895.3684211,0,81.1807466493,18.8192533507,24,1,1167.09407202,409.476842105,0,87.54,0,24,28500000,0.0963422876092,0.0027397260274,2745755.19686,570000,7522.61697771,1561.64383562,875.4,2437.04383562,492815.337464,0,Optimal,70.8333333333,96.9972299169,491253.693629,5.44986278328e-12
E030_P20,30,20,500629.199432,408482.925208,10598.7858035,81547.4884211,0,81.2606881891,18.7393118109,24,1,1167.09407202,407.737442105,0,103.6406,0,24,30000000,0.0963422876092,0.0027397260274,2890268.62828,600000,7918.54418706,1643.83561644,1036.406,2680.24161644,492710.655245,0,Optimal,70.8333333333,114.837229917,491066.819629,6.65068000671e-12
E030_P25,30,25,500950.193422,408482.925208,11212.2797937,81254.9884211,0,81.3279036094,18.6720963906,24,1,1167.09407202,406.274942105,0,117.1781,0,24,31500000,0.0963422876092,0.0027397260274,3034782.05969,630000,8314.47139641,1726.02739726,1171.781,2897.80839726,492635.722026,0,Optimal,66.6666666667,129.837229917,490909.694629,8.30979729471e-12
E030_P30,30,30,501420.494755,408482.925208,11697.1342838,81240.4352632,0,81.3312478714,18.6687521286,24,1,1167.09407202,406.202176316,0,117.85165,0,24,33000000,0.0963422876092,0.0027397260274,3179295.49111,660000,8710.39860577,1808.21917808,1178.5165,2986.73567808,492710.096149,0,Optimal,66.6666666667,130.583545706,490901.876971,8.40572056404e-12
E030_P35,30,35,501898.613745,408482.925208,12175.253274,81240.4352632,0,81.3312478714,18.6687521286,24,1,1167.09407202,406.202176316,0,117.85165,0,24,34500000,0.0963422876092,0.0027397260274,3323808.92252,690000,9106.32581512,1890.4109589,1178.5165,3068.9274589,492792.28793,0,Optimal,70.8333333333,130.583545706,490901.876971,8.39861513668e-12
E030_P40,30,40,502376.732735,408482.925208,12653.3722642,81240.4352632,0,81.3312478714,18.6687521286,24,1,1167.09407202,406.202176316,0,117.85165,0,24,36000000,0.0963422876092,0.0027397260274,3468322.35393,720000,9502.25302447,1972.60273973,1178.5165,3151.11923973,492874.479711,0,Optimal,66.6666666667,130.583545706,490901.876971,8.40572056404e-12
E030_P45,30,45,502854.851725,408482.925208,13131.4912544,81240.4352632,0,81.3312478714,18.6687521286,24,1,1167.09407202,406.202176316,0,117.85165,0,24,37500000,0.0963422876092,0.0027397260274,3612835.78535,750000,9898.18023383,2054.79452055,1178.5165,3233.31102055,492956.671491,0,Optimal,70.8333333333,130.583545706,490901.876971,8.40216785036e-12
E030_P50,30,50,503332.970715,408482.925208,13609.6102445,81240.4352632,0,81.3312478714,18.6687521286,24,1,1167.09407202,406.202176316,0,117.85165,0,24,39000000,0.0963422876092,0.0027397260274,3757349.21676,780000,10294.1074432,2136.98630137,1178.5165,3315.50280137,493038.863272,0,Optimal,70.8333333333,130.583545706,490901.876971,8.39861513668e-12
E040_P05,40,5,507590.870282,411771.5,11129.9907806,84689.3795014,0,80.538693217,19.461306783,24,1,1176.49,423.446897507,0,45.2,0,24,33500000,0.0963422876092,0.0027397260274,3227466.63491,670000,8842.37434222,1835.61643836,452,2287.61643836,498748.49594,0,Optimal,87.5,50.0831024931,496912.879501,1.84741111298e-12
