hour,load,wind,solar,cluster
14,120.65000000000001,8.5700000000000003,0,10
15,126.34999999999999,10.359999999999999,0,10
16,135.84999999999999,10.49,0,10
17,146.30000000000001,10.98,0,10
18,152,11.82,0,10
19,153.90000000000001,11.5,0,10
20,143.44999999999999,9.9399999999999995,0,10
21,125.40000000000001,8.3000000000000007,0,10
22,106.40000000000001,7.3099999999999996,0.59999999999999998,10
23,94.049999999999997,6.0700000000000003,16.420000000000002,10
0,87.400000000000006,18.059999999999999,7.79,11
1,82.650000000000006,18.23,13.859999999999999,11
2,78.849999999999994,15.390000000000001,17.809999999999999,11
3,76.950000000000003,15.08,18.039999999999999,11
4,77.900000000000006,18.579999999999998,8.3800000000000008,11
5,84.549999999999997,24.629999999999999,6.4699999999999998,11
6,97.849999999999994,33.009999999999998,5.4299999999999997,11
7,115.90000000000001,41.270000000000003,6.7800000000000002,11
8,132.05000000000001,45.090000000000003,2.5699999999999998,11
9,137.75,38.200000000000003,0,11
10,133.94999999999999,28.739999999999998,0,11
11,127.3,19.100000000000001,0,11
12,121.59999999999999,14.93,0,11
13,118.75,14.19,0,11
14,120.65000000000001,14.41,0,11
15,126.34999999999999,15.08,0,11
16,135.84999999999999,14.56,0,11
17,146.30000000000001,12.699999999999999,0,11
18,152,10.98,0,11
19,153.90000000000001,9.9399999999999995,0,11
20,143.44999999999999,8.7400000000000002,0,11
21,125.40000000000001,6.0700000000000003,0,11
22,106.40000000000001,3.73,0,11
23,94.049999999999997,2.1200000000000001,6.1100000000000003,11
0,92,100,4.2000000000000002,12
1,87,100,8.9100000000000001,12
2,83,100,7.2999999999999998,12
3,81,100,12.65,12
4,82,100,12.119999999999999,12
5,89,100,8.3100000000000005,12
6,103,100,10.640000000000001,12
7,122,100,12.4,12
8,139,100,6.2199999999999998,12
9,145,100,0.85999999999999999,12
10,141,100,0,12
11,134,100,0,12
12,128,100,0,12
13,125,100,0,12
14,127,100,0,12
15,133,100,0,12
16,143,100,0,12
17,154,100,0,12
18,160,100,0,12
19,162,100,0,12
20,151,100,0,12
21,132,96.730000000000004,0,12
22,112,82.120000000000005,0,12
23,99,68.430000000000007,0.34000000000000002,12
0,92,3.4900000000000002,15.58,13
1,87,2.29,28.530000000000001,13
2,83,1.2,49.229999999999997,13
3,81,1.8200000000000001,58.32,13
4,82,4.5599999999999996,72.950000000000003,13
5,89,8.6799999999999997,58.969999999999999,13
6,103,13.9,43.009999999999998,13
7,122,21.850000000000001,37.850000000000001,13
8,139,29.190000000000001,22.550000000000001,13
9,145,23.920000000000002,12.49,13
10,141,21.100000000000001,5.3099999999999996,13
11,134,25.149999999999999,0.14999999999999999,13
12,128,30.949999999999999,0,13
13,125,31.059999999999999,0,13
14,127,27.07,0,13
15,133,19.280000000000001,0,13
16,143,15.550000000000001,0,13
17,154,13.390000000000001,0,13
18,160,15.859999999999999,0,13
19,162,20.359999999999999,0,13
20,151,24.32,0,13
21,132,23.120000000000001,0.39000000000000001,13
22,112,21,2.2000000000000002,13
23,99,26.420000000000002,4.8300000000000001,13
0,92,17.140000000000001,73.650000000000006,14
1,87,43.009999999999998,101.7,14
2,83,100,117.05,14
3,81,100,132.06999999999999,14
4,82,100,136.84999999999999,14
5,89,90.890000000000001,135.65000000000001,14
